#GreenIT
#uuid;3965e956-f1d6-4ceb-8f55-0cc9a9f82f44
#start_date;20240326_1605
#version_highlight;5.5.23-RELEASE
FILE SECTION

section=Python
Dat_FileName;Dat_AbortCause;Id_033;Id_745;Id_228;Id_855;Id_856;Id_853;Id_651;Id_479;
ColdFusion-Extension-Description-Page\cast_upgrade_1_6_11.py;None;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page\cf_application.py;None;0;6;0;0;0;0;2;6;
ColdFusion-Extension-Description-Page\main.py;None;0;36;0;0;0;0;3;11;
ColdFusion-Extension-Description-Page\Parser.py;None;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page/bs4\dammit.py;None;0;0;0;0;0;0;3;1;
ColdFusion-Extension-Description-Page/bs4\diagnose.py;None;0;0;0;0;0;0;1;1;
ColdFusion-Extension-Description-Page/bs4\element.py;None;0;1;0;0;0;0;11;1;
ColdFusion-Extension-Description-Page/bs4\formatter.py;None;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page/bs4\__init__.py;None;1;0;0;0;0;0;1;0;
ColdFusion-Extension-Description-Page/bs4/builder\_html5lib.py;None;0;0;0;0;0;0;4;0;
ColdFusion-Extension-Description-Page/bs4/builder\_htmlparser.py;None;0;0;0;0;0;0;2;0;
ColdFusion-Extension-Description-Page/bs4/builder\_lxml.py;None;0;0;0;0;0;0;6;0;
ColdFusion-Extension-Description-Page/bs4/builder\__init__.py;None;0;0;0;0;0;0;2;0;
com.castsoftware.labs.jee.missingtable\main.py;None;0;11;0;0;0;0;5;14;
com.castsoftware.labs.jee.missingtable/ply\cpp.py;None;0;0;0;1;1;0;19;14;
com.castsoftware.labs.jee.missingtable/ply\ctokens.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/ply\lex.py;None;0;0;0;0;0;0;17;16;
com.castsoftware.labs.jee.missingtable/ply\yacc.py;None;1;1;0;1;0;0;26;71;
com.castsoftware.labs.jee.missingtable/ply\ygen.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/ply\__init__.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/plyj\lextab.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/plyj\model.py;None;0;0;0;0;0;0;0;1;
com.castsoftware.labs.jee.missingtable/plyj\parser.py;None;0;0;0;2;0;0;0;1;
com.castsoftware.labs.jee.missingtable/plyj\parsetab.py;None;0;0;0;0;0;0;4;2;
com.castsoftware.labs.jee.missingtable/sqlparse\exceptions.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/sqlparse\filters.py;None;0;0;0;0;2;0;2;1;
com.castsoftware.labs.jee.missingtable/sqlparse\formatter.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/sqlparse\functions.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/sqlparse\keywords.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/sqlparse\lexer.py;None;0;1;0;0;0;0;4;7;
com.castsoftware.labs.jee.missingtable/sqlparse\pipeline.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/sqlparse\sql.py;None;0;0;0;0;0;0;6;3;
com.castsoftware.labs.jee.missingtable/sqlparse\tokens.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/sqlparse\utils.py;None;0;0;0;0;0;0;1;0;
com.castsoftware.labs.jee.missingtable/sqlparse\__init__.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/sqlparse/engine\filter.py;None;0;0;0;0;0;0;0;0;
com.castsoftware.labs.jee.missingtable/sqlparse/engine\grouping.py;None;0;0;0;0;0;0;1;3;
com.castsoftware.labs.jee.missingtable/sqlparse/engine\__init__.py;None;0;0;0;0;0;0;1;3;
com.castsoftware.uc.apachetiles\ApacheTilesAnalysis.py;None;0;9;0;0;0;0;2;1;
com.castsoftware.uc.apachetiles\ApacheTilesApplication.py;None;0;28;0;0;0;0;11;1;
com.castsoftware.uc.apachetiles/cast_upgrades\cast_upgrade_1_5_16.py;None;0;0;0;0;0;0;0;0;

APPLI SECTION
