#CloudReady
#uuid;3965e956-f1d6-4ceb-8f55-0cc9a9f82f44
#start_date;20240326_1605
#version_highlight;5.5.23-RELEASE
FILE SECTION

section=Python
Dat_FileName;Dat_AbortCause;Id_011;Id_012;Id_013;Id_172;Id_050;Id_051;Id_003;Id_004;Id_176;Id_177;Id_085;Id_122;Id_123;Id_184;Id_185;Id_186;Id_187;Id_190;Id_170;Id_171;Id_173;Id_014;Id_094;Id_009;Id_005;Id_002;Id_174;Id_183;Id_182;Id_126;Id_127;Id_128;Id_175;Id_180;Id_188;Id_259;Id_119;Id_121;Id_133;Id_142;Id_143;Id_144;Id_145;Id_146;Id_147;Id_148;Id_150;Id_151;Id_152;Id_117;Id_118;Id_096;Id_057;Id_189;Id_205;Id_206;Id_260;
ColdFusion-Extension-Description-Page\cast_upgrade_1_6_11.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page\cf_application.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page\main.py;None;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page\Parser.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page/bs4\dammit.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page/bs4\diagnose.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page/bs4\element.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page/bs4\formatter.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page/bs4\__init__.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page/bs4/builder\_html5lib.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
